town,COUNTY,longitude,latitude,cost_of_living,Housing,Food,Energy,Transport,Education,PD,Population,FC,DUC,EC,CPI,AP,NHUP,IR,RR,SEP,PAD
Ballinabrannagh,Carlow,-6.984157942,52.78485162,2.825947692,2.743329908,1.420450859,2.450708925,2.615248768,4.9,1371.3,557,3.04,0.079100785,16.03,3.2,7.1,0.595744681,2.7,9.8,3.602388729,1.612034538
Ballon,Carlow,-6.772739494,52.73969255,1.924257468,2.737773226,1.420450859,2.445337215,2.609726041,0.408,1353.8,801,3.04,0.178445326,16.03,3.2,7.1,0.14893617,2.7,9.8,1.915214855,1.975330245
Borris,Carlow,-6.924799807,52.60354091,3.050565295,2.453314078,1.420450859,2.168687676,2.322373864,6.888,696.9,702,3.04,0.23188561,16.03,3.2,7.1,0.446808511,2.7,9.8,3.33138504,1.843402702
Carlow,Carlow,-6.923333746,52.83542188,2.737592473,2.973236551,1.420450859,2.676506137,2.845768817,3.772,2333.9,27351,3.04,0,16.03,3.2,7.1,16.42553191,2.7,9.8,5.16017337,5.455321115
Clonegall,Carlow,-6.647710886,52.69553751,2.259088635,2.660448839,1.420450859,2.369749538,2.531869141,2.3129248,1130.9,249,3.04,0.309088336,16.03,3.2,7.1,0.042553191,2.7,9.8,2.046517855,0.806922195
Fennagh,Carlow,-6.847689725,52.71409665,1.931102221,2.813606949,1.420450859,2.519798986,2.686054309,0.2156,1614.6,479,3.04,0.142974929,16.03,3.2,7.1,0.021276596,2.7,9.8,0.869615847,1.461169896
Hacketstown,Carlow,-6.557874223,52.86390504,2.631949655,2.835350489,1.420450859,2.541260857,2.707986071,3.6547,1698.1,653,3.04,0.366567802,16.03,3.2,7.1,0.29787234,2.7,9.8,3.266845173,1.771046428
Kernanstown,Carlow,-6.872575708,52.82492371,1.949002755,2.508768011,1.420450859,2.22211936,2.378475545,1.2152,793.7,269,3.04,0.051832326,16.03,3.2,7.1,0,2.7,9.8,3.1256,0.884180678
Kildavin,Carlow,-6.684797515,52.68410561,0.702496152,2.662454583,1.420450859,2.371695278,2.533880038,-5.476,1136.2,207,3.04,0.28248212,16.03,3.2,7.1,0.021276596,2.7,9.8,3.2569,0.622188092
Leighlinbridge,Carlow,-6.979614925,52.73565312,2.287243512,2.757974923,1.420450859,2.465099225,2.630018631,2.16267392,1418.8,959,3.04,0.114548578,16.03,3.2,7.1,0.510638298,2.7,9.8,3.195025607,2.155360373
Muinebeag (Bagenalstown),Carlow,-6.962647814,52.70159987,2.655473827,2.585064031,1.420450859,2.296175441,2.455678805,4.52,948.6,2945,3.04,0.139477339,16.03,3.2,7.1,0.127659574,2.7,9.8,2.738274948,3.912023005
Myshall,Carlow,-6.779451586,52.68805245,2.270076377,2.568781453,1.420450859,2.280388924,2.439260649,2.6415,913.2,292,3.04,0.205960738,16.03,3.2,7.1,0.191489362,2.7,9.8,2.664561169,0.966223101
